Symbol,Type,Strike,Moneyness,Open,High,Low,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Time,"Exp Date",DTE
BNTX|20230120|60.00P,Put,60.00,-73.52%,1.44,1.44,1.44,1.44,0.00,unch,0,40,0.00,0.00%,11/19/21,01/20/23,380
BNTX|20230120|65.00P,Put,65.00,-71.31%,0.05,0.05,0.05,0.05,0.00,unch,0,11,0.00,90.41%,11/08/21,01/20/23,380
BNTX|20230120|70.00P,Put,70.00,-69.10%,2.10,2.10,2.10,2.10,0.00,unch,0,20,0.00,85.65%,01/04/22,01/20/23,380
BNTX|20230120|75.00P,Put,75.00,-66.90%,9.60,9.60,7.20,9.40,0.00,unch,0,12,0.00,82.25%,04/20/21,01/20/23,380
BNTX|20230120|80.00P,Put,80.00,-64.69%,2.85,2.85,2.85,2.85,0.00,unch,0,35,0.00,71.11%,10/05/21,01/20/23,380
BNTX|20230120|85.00P,Put,85.00,-62.48%,1.95,2.25,1.95,2.25,0.00,unch,0,88,0.00,73.13%,11/24/21,01/20/23,380
BNTX|20230120|90.00P,Put,90.00,-60.28%,3.73,3.73,3.73,3.73,0.00,unch,0,35,0.00,71.55%,12/10/21,01/20/23,380
BNTX|20230120|95.00P,Put,95.00,-58.07%,4.70,4.70,4.70,4.70,0.00,unch,0,16,0.00,66.49%,01/04/22,01/20/23,380
BNTX|20230120|100.00P,Put,100.00,-55.86%,5.00,5.00,5.00,5.00,0.00,unch,0,73,0.00,64.14%,01/03/22,01/20/23,380
BNTX|20230120|105.00P,Put,105.00,-53.65%,5.50,5.50,5.50,5.50,0.00,unch,0,33,0.00,64.91%,11/09/21,01/20/23,380
BNTX|20230120|110.00P,Put,110.00,-51.45%,6.30,6.30,6.30,6.30,0.00,unch,0,162,0.00,64.55%,11/05/21,01/20/23,380
BNTX|20230120|115.00P,Put,115.00,-49.24%,23.40,23.40,23.40,23.40,0.00,unch,0,288,0.00,63.01%,05/06/21,01/20/23,380
BNTX|20230120|120.00P,Put,120.00,-47.03%,8.50,8.50,8.50,8.50,0.00,unch,0,302,0.00,64.37%,12/09/21,01/20/23,380
BNTX|20230120|125.00P,Put,125.00,-44.83%,7.32,7.32,7.32,7.32,0.00,unch,0,9,0.00,63.76%,12/01/21,01/20/23,380
BNTX|20230120|130.00P,Put,130.00,-42.62%,11.85,11.85,11.85,11.85,0.00,unch,0,12,0.00,62.24%,12/13/21,01/20/23,380
BNTX|20230120|135.00P,Put,135.00,-40.41%,0.00,0.00,0.00,0.00,0.00,unch,0,0,0.00,62.97%,N/A,01/20/23,380
BNTX|20230120|140.00P,Put,140.00,-38.21%,12.82,12.82,8.00,8.00,0.00,unch,0,24,0.00,62.73%,12/09/21,01/20/23,380
BNTX|20230120|145.00P,Put,145.00,-36.00%,17.20,17.20,17.20,17.20,0.00,unch,0,614,0.00,66.58%,01/04/22,01/20/23,380
BNTX|20230120|150.00P,Put,150.00,-33.79%,15.00,15.00,15.00,15.00,0.00,unch,0,67,0.00,64.57%,12/22/21,01/20/23,380
BNTX|20230120|155.00P,Put,155.00,-31.59%,26.60,26.70,26.60,26.60,0.00,unch,0,26,0.00,62.57%,07/09/21,01/20/23,380
BNTX|20230120|160.00P,Put,160.00,-29.38%,18.20,18.20,18.20,18.20,0.00,unch,0,275,0.00,62.80%,11/18/21,01/20/23,380
BNTX|20230120|165.00P,Put,165.00,-27.17%,23.00,23.00,23.00,23.00,0.00,unch,0,86,0.00,63.69%,01/03/22,01/20/23,380
BNTX|20230120|170.00P,Put,170.00,-24.96%,23.63,23.63,23.63,23.63,0.00,unch,0,24,0.00,63.37%,12/13/21,01/20/23,380
BNTX|20230120|175.00P,Put,175.00,-22.76%,25.50,25.50,25.50,25.50,0.00,unch,0,114,0.00,63.43%,01/03/22,01/20/23,380
BNTX|20230120|180.00P,Put,180.00,-20.55%,33.00,33.00,33.00,33.00,0.00,unch,0,37,0.00,63.71%,01/04/22,01/20/23,380
BNTX|20230120|185.00P,Put,185.00,-18.34%,31.63,31.63,31.63,31.63,0.00,unch,0,304,0.00,63.00%,01/03/22,01/20/23,380
BNTX|20230120|190.00P,Put,190.00,-16.14%,33.99,33.99,33.99,33.99,0.00,unch,0,770,0.00,63.06%,01/03/22,01/20/23,380
BNTX|20230120|195.00P,Put,195.00,-13.93%,35.00,35.00,35.00,35.00,-3.40,-8.85%,1,99,0.01,64.47%,"09:53 ET",01/20/23,380
BNTX|20230120|200.00P,Put,200.00,-11.72%,39.55,39.55,39.55,39.55,0.00,unch,0,596,0.00,64.42%,01/03/22,01/20/23,380
BNTX|20230120|210.00P,Put,210.00,-7.31%,48.60,48.60,48.60,48.60,0.00,unch,0,558,0.00,63.95%,01/04/22,01/20/23,380
BNTX|20230120|220.00P,Put,220.00,-2.90%,50.20,50.20,50.20,50.20,0.30,+0.60%,1,770,0.00,59.62%,"09:30 ET",01/20/23,380
BNTX|20230120|230.00P,Put,230.00,+1.52%,59.77,59.77,59.77,59.77,0.00,unch,0,346,0.00,62.74%,01/04/22,01/20/23,380
BNTX|20230120|240.00P,Put,240.00,+5.93%,54.37,54.37,54.37,54.37,0.00,unch,0,44,0.00,62.61%,12/30/21,01/20/23,380
BNTX|20230120|250.00P,Put,250.00,+10.35%,68.00,68.00,68.00,68.00,0.00,unch,0,149,0.00,62.55%,12/29/21,01/20/23,380
BNTX|20230120|260.00P,Put,260.00,+14.76%,75.00,75.11,75.00,75.11,0.00,unch,0,136,0.00,62.30%,12/29/21,01/20/23,380
BNTX|20230120|270.00P,Put,270.00,+19.17%,81.60,81.60,81.60,81.60,0.00,unch,0,32,0.00,62.10%,12/29/21,01/20/23,380
BNTX|20230120|280.00P,Put,280.00,+23.59%,84.32,84.32,84.32,84.32,0.00,unch,0,37,0.00,62.13%,01/03/22,01/20/23,380
BNTX|20230120|290.00P,Put,290.00,+28.00%,87.60,87.60,87.10,87.21,0.00,unch,0,4,0.00,62.28%,12/14/21,01/20/23,380
